territorio;mes;variavel;valor;unidade
Minas Gerais;maio 2025;variacao_mesmo_mes_ano_anterior;-1.7;percentual
Minas Gerais;junho 2025;variacao_mesmo_mes_ano_anterior;-7.5;percentual
Minas Gerais;julho 2025;variacao_mesmo_mes_ano_anterior;-8.0;percentual
Minas Gerais;agosto 2025;variacao_mesmo_mes_ano_anterior;-7.1;percentual
Minas Gerais;setembro 2025;variacao_mesmo_mes_ano_anterior;-6.1;percentual
Minas Gerais;outubro 2025;variacao_mesmo_mes_ano_anterior;-5.5;percentual
Minas Gerais;novembro 2025;variacao_mesmo_mes_ano_anterior;-5.5;percentual
Minas Gerais;dezembro 2025;variacao_mesmo_mes_ano_anterior;-10.4;percentual
Espírito Santo;janeiro 2025;variacao_mesmo_mes_ano_anterior;6.6;percentual
Espírito Santo;fevereiro 2025;variacao_mesmo_mes_ano_anterior;19.5;percentual
Espírito Santo;março 2025;variacao_mesmo_mes_ano_anterior;3.5;percentual
Espírito Santo;abril 2025;variacao_mesmo_mes_ano_anterior;5.4;percentual
Espírito Santo;maio 2025;variacao_mesmo_mes_ano_anterior;6.8;percentual
Espírito Santo;junho 2025;variacao_mesmo_mes_ano_anterior;-2.3;percentual
Espírito Santo;julho 2025;variacao_mesmo_mes_ano_anterior;0.0;percentual
Espírito Santo;agosto 2025;variacao_mesmo_mes_ano_anterior;-0.5;percentual
Espírito Santo;setembro 2025;variacao_mesmo_mes_ano_anterior;4.1;percentual
Espírito Santo;outubro 2025;variacao_mesmo_mes_ano_anterior;5.0;percentual
Espírito Santo;novembro 2025;variacao_mesmo_mes_ano_anterior;4.6;percentual
Espírito Santo;dezembro 2025;variacao_mesmo_mes_ano_anterior;5.8;percentual
Rio de Janeiro;janeiro 2025;variacao_mesmo_mes_ano_anterior;6.4;percentual
Rio de Janeiro;fevereiro 2025;variacao_mesmo_mes_ano_anterior;11.4;percentual
Rio de Janeiro;março 2025;variacao_mesmo_mes_ano_anterior;16.9;percentual
Rio de Janeiro;abril 2025;variacao_mesmo_mes_ano_anterior;20.7;percentual
Rio de Janeiro;maio 2025;variacao_mesmo_mes_ano_anterior;22.0;percentual
Rio de Janeiro;junho 2025;variacao_mesmo_mes_ano_anterior;8.7;percentual
Rio de Janeiro;julho 2025;variacao_mesmo_mes_ano_anterior;4.2;percentual
Rio de Janeiro;agosto 2025;variacao_mesmo_mes_ano_anterior;13.4;percentual
Rio de Janeiro;setembro 2025;variacao_mesmo_mes_ano_anterior;-0.7;percentual
Rio de Janeiro;outubro 2025;variacao_mesmo_mes_ano_anterior;9.8;percentual
Rio de Janeiro;novembro 2025;variacao_mesmo_mes_ano_anterior;6.6;percentual
Rio de Janeiro;dezembro 2025;variacao_mesmo_mes_ano_anterior;8.8;percentual
São Paulo;janeiro 2025;variacao_mesmo_mes_ano_anterior;4.0;percentual
São Paulo;fevereiro 2025;variacao_mesmo_mes_ano_anterior;8.3;percentual
São Paulo;março 2025;variacao_mesmo_mes_ano_anterior;4.2;percentual
São Paulo;abril 2025;variacao_mesmo_mes_ano_anterior;9.9;percentual
São Paulo;maio 2025;variacao_mesmo_mes_ano_anterior;7.0;percentual
São Paulo;junho 2025;variacao_mesmo_mes_ano_anterior;3.8;percentual
São Paulo;julho 2025;variacao_mesmo_mes_ano_anterior;4.8;percentual
São Paulo;agosto 2025;variacao_mesmo_mes_ano_anterior;3.8;percentual
São Paulo;setembro 2025;variacao_mesmo_mes_ano_anterior;6.7;percentual
São Paulo;outubro 2025;variacao_mesmo_mes_ano_anterior;-1.0;percentual
São Paulo;novembro 2025;variacao_mesmo_mes_ano_anterior;2.3;percentual
São Paulo;dezembro 2025;variacao_mesmo_mes_ano_anterior;-1.9;percentual
Paraná;janeiro 2025;variacao_mesmo_mes_ano_anterior;2.3;percentual
Paraná;fevereiro 2025;variacao_mesmo_mes_ano_anterior;9.8;percentual
Paraná;março 2025;variacao_mesmo_mes_ano_anterior;1.9;percentual
Paraná;abril 2025;variacao_mesmo_mes_ano_anterior;4.3;percentual
Paraná;maio 2025;variacao_mesmo_mes_ano_anterior;11.4;percentual
Paraná;junho 2025;variacao_mesmo_mes_ano_anterior;7.0;percentual
Paraná;julho 2025;variacao_mesmo_mes_ano_anterior;6.6;percentual
Paraná;agosto 2025;variacao_mesmo_mes_ano_anterior;4.7;percentual
Paraná;setembro 2025;variacao_mesmo_mes_ano_anterior;6.0;percentual
Paraná;outubro 2025;variacao_mesmo_mes_ano_anterior;4.2;percentual
Paraná;novembro 2025;variacao_mesmo_mes_ano_anterior;4.5;percentual
Paraná;dezembro 2025;variacao_mesmo_mes_ano_anterior;7.3;percentual
Santa Catarina;janeiro 2025;variacao_mesmo_mes_ano_anterior;9.7;percentual
Santa Catarina;fevereiro 2025;variacao_mesmo_mes_ano_anterior;13.7;percentual
Santa Catarina;março 2025;variacao_mesmo_mes_ano_anterior;11.1;percentual
Santa Catarina;abril 2025;variacao_mesmo_mes_ano_anterior;7.6;percentual
Santa Catarina;maio 2025;variacao_mesmo_mes_ano_anterior;6.6;percentual
Santa Catarina;junho 2025;variacao_mesmo_mes_ano_anterior;-3.4;percentual
Santa Catarina;julho 2025;variacao_mesmo_mes_ano_anterior;-4.3;percentual
Santa Catarina;agosto 2025;variacao_mesmo_mes_ano_anterior;-5.5;percentual
Santa Catarina;setembro 2025;variacao_mesmo_mes_ano_anterior;-2.2;percentual
Santa Catarina;outubro 2025;variacao_mesmo_mes_ano_anterior;-1.5;percentual
Santa Catarina;novembro 2025;variacao_mesmo_mes_ano_anterior;-3.6;percentual
Santa Catarina;dezembro 2025;variacao_mesmo_mes_ano_anterior;-5.0;percentual
